timestep,time,golf_0,golf_1,golf_2,sprinter_0,sprinter_1,sprinter_2
149,2024-05-14 13:15:00,0.7266238086032144,0.7924146515717956,0.750434452280596,0.6121470537007697,0.6895567687514335,0.6785542977199315
150,2024-05-14 13:30:00,0.7199218086032144,0.7890580768733,0.7454311002168759,0.6012337084664108,0.6822408550767758,0.6703968710604451
151,2024-05-14 13:45:00,0.7132198086032144,0.7857015021748044,0.7404277481531557,0.5903203632320518,0.6749249414021181,0.6622394444009587
152,2024-05-14 14:00:00,0.7065178086032143,0.7823449274763088,0.7354243960894356,0.5794070179976929,0.6676090277274604,0.6540820177414723
153,2024-05-14 14:15:00,0.6998158086032144,0.7789883527778132,0.7304210440257154,0.568493672763334,0.6602931140528028,0.645924591081986
154,2024-05-14 14:30:00,0.6931138086032144,0.7756317780793176,0.7254176919619952,0.557580327528975,0.6529772003781451,0.6377671644224996
155,2024-05-14 14:45:00,0.6864118086032144,0.772275203380822,0.7204143398982751,0.5466669822946162,0.6456612867034874,0.6296097377630131
156,2024-05-14 15:00:00,0.6797098086032144,0.7689186286823264,0.7154109878345549,0.5357536370602571,0.6383453730288298,0.6214523111035267
157,2024-05-14 15:15:00,0.6730078086032143,0.7655620539838308,0.7104076357708348,0.5248402918258983,0.6310294593541721,0.6132948844440403
158,2024-05-14 15:30:00,0.6663058086032143,0.7622054792853352,0.7054042837071146,0.559215275434621,0.6237135456795144,0.605137457784554
159,2024-05-14 15:45:00,0.6596038086032143,0.7588489045868396,0.7004009316433945,0.5935902590433437,0.6163976320048568,0.5969800311250675
160,2024-05-14 16:00:00,0.6529018086032143,0.755492329888344,0.6953975795796743,0.6279652426520664,0.609081718330199,0.5888226044655811
161,2024-05-14 16:15:00,0.6461998086032144,0.7521357551898484,0.6903942275159541,0.6623402262607891,0.6017658046555413,0.5806651778060947
162,2024-05-14 16:30:00,0.6394978086032144,0.7487791804913528,0.685390875452234,0.6967152098695119,0.5944498909808836,0.5725077511466083
163,2024-05-14 16:45:00,0.7439977836884728,0.7454226057928572,0.6803875233885138,0.7310901934782346,0.587133977306226,0.564350324487122
164,2024-05-14 17:00:00,0.8484977587737312,0.7420660310943616,0.6753841713247937,0.7654651770869573,0.5798180636315683,0.5561928978276356
165,2024-05-14 17:15:00,0.8484977587737312,0.738709456395866,0.6703808192610735,0.79984016069568,0.5725021499569106,0.5905678814363583
166,2024-05-14 17:30:00,0.8484977587737312,0.7353528816973705,0.6653774671973534,0.8342151443044027,0.565186236282253,0.624942865045081
167,2024-05-14 17:45:00,0.8484977587737312,0.7319963069988749,0.6603741151336332,0.8342151443044027,0.5578703226075953,0.6593178486538037
168,2024-05-14 18:00:00,0.8484977587737312,0.7286397323003793,0.655370763069913,0.8342151443044027,0.592245306216318,0.6936928322625264
169,2024-05-14 18:15:00,0.8484977587737312,0.8331397073856377,0.6503674110061929,0.8342151443044027,0.6266202898250407,0.7280678158712491
170,2024-05-14 18:30:00,0.8484977587737312,0.8331397073856377,0.7548673860914514,0.8342151443044027,0.6609952734337634,0.7624427994799718
171,2024-05-14 18:45:00,0.8484977587737312,0.8331397073856377,0.8593673611767099,0.8342151443044027,0.6953702570424861,0.7968177830886946
172,2024-05-14 19:00:00,0.8484977587737312,0.8331397073856377,0.8593673611767099,0.8342151443044027,0.7297452406512088,0.8311927666974173
173,2024-05-14 19:15:00,0.8484977587737312,0.8331397073856377,0.8593673611767099,0.8342151443044027,0.7641202242599315,0.8311927666974173
174,2024-05-14 19:30:00,0.8484977587737312,0.8331397073856377,0.8593673611767099,0.8342151443044027,0.7984952078686542,0.8311927666974173
175,2024-05-14 19:45:00,0.8484977587737312,0.8331397073856377,0.8593673611767099,0.8342151443044027,0.832870191477377,0.8311927666974173
176,2024-05-14 20:00:00,0.8484977587737312,0.8331397073856377,0.8593673611767099,0.8342151443044027,0.832870191477377,0.8311927666974173
177,2024-05-14 20:15:00,0.8484977587737312,0.8331397073856377,0.8593673611767099,0.8342151443044027,0.832870191477377,0.8311927666974173
178,2024-05-14 20:30:00,0.8484977587737312,0.8331397073856377,0.8593673611767099,0.8342151443044027,0.832870191477377,0.8311927666974173
