timestep,time,Tesla Model 3_0,Tesla Model 3_1,Tesla Model 3_2,Tesla Model 3_3,Tesla Model 3_4,Tesla Model 3_5,Tesla Model 3_6,Tesla Model 3_7,Tesla Model 3_8,Tesla Model 3_9
78,2024-06-17 19:30:00,0.3192307692307693,0.3192307692307693,0.3192307692307693,0.3192307692307693,0.3192307692307693,0.3192307692307693,0.3192307692307693,0.3192307692307693,0.3192307692307693,0.3192307692307693
79,2024-06-17 19:45:00,0.32884615384615395,0.32884615384615395,0.32884615384615395,0.32884615384615395,0.32884615384615395,0.32884615384615395,0.32884615384615395,0.32884615384615395,0.32884615384615395,0.32884615384615395
80,2024-06-17 20:00:00,0.3384615384615386,0.3384615384615386,0.3384615384615386,0.3384615384615386,0.3384615384615386,0.3384615384615386,0.3384615384615386,0.3384615384615386,0.3384615384615386,0.3384615384615386
81,2024-06-17 20:15:00,0.34807692307692323,0.34807692307692323,0.34807692307692323,0.34807692307692323,0.34807692307692323,0.34807692307692323,0.34807692307692323,0.34807692307692323,0.34807692307692323,0.34807692307692323
82,2024-06-17 20:30:00,0.35769230769230786,0.35769230769230786,0.35769230769230786,0.35769230769230786,0.35769230769230786,0.35769230769230786,0.35769230769230786,0.35769230769230786,0.35769230769230786,0.35769230769230786
83,2024-06-17 20:45:00,0.3673076923076925,0.3673076923076925,0.3673076923076925,0.3673076923076925,0.3673076923076925,0.3673076923076925,0.3673076923076925,0.3673076923076925,0.3673076923076925,0.3673076923076925
84,2024-06-17 21:00:00,0.37692307692307714,0.37692307692307714,0.37692307692307714,0.37692307692307714,0.37692307692307714,0.37692307692307714,0.37692307692307714,0.37692307692307714,0.37692307692307714,0.37692307692307714
85,2024-06-17 21:15:00,0.3865384615384618,0.3865384615384618,0.3865384615384618,0.3865384615384618,0.3865384615384618,0.3865384615384618,0.3865384615384618,0.3865384615384618,0.3865384615384618,0.3865384615384618
86,2024-06-17 21:30:00,0.3961538461538464,0.3961538461538464,0.3961538461538464,0.3961538461538464,0.3961538461538464,0.3961538461538464,0.3961538461538464,0.3961538461538464,0.3961538461538464,0.3961538461538464
87,2024-06-17 21:45:00,0.40576923076923105,0.40576923076923105,0.40576923076923105,0.40576923076923105,0.40576923076923105,0.40576923076923105,0.40576923076923105,0.40576923076923105,0.40576923076923105,0.40576923076923105
